V11, V05, V04, V07, V06, V01, V00, V03, V24, V28, V09, V08, V23, V22, V21, V20, V27, V26, V18, V19, V25, V12, V13, V10, V02, V16, V17, V14, V15
138.093646673, 142.810816968, 115.402462102, 89.0219773399, 114.919864112, 59.8985295276, 125.361391909, 97.5010393312, 660.919114456, 149.144627555, 138.740294753, 671.723258005, 161.948533861, 12.0899500544, 135.877443138, 124.464004313, 130.267770309, 1.03704961934, 245.624185829, 623.964817864, 99.4248601021, 108.177837358, 157.221185206, 106.756723181, 133.031675281, 266.667689419, 177.964927727, 79.9092938283, 128.186996035
142.041200379, 149.851997959, 138.791804212, 90.7185459404, 136.533752646, 48.9804840829, 64.2324043299, 80.238234953, 140.737873076, 159.91506372, 267.487370608, 182.341357288, 122.157833248, 24.0943496207, 115.125516658, 261.158563057, 102.045951351, 764.777720612, 160.002633434, 163.321871908, 70.024753508, 114.173632044, 120.236305657, 104.44168142, 119.749435372, 254.390362668, 174.883202262, 140.126855338, 102.303811061
167.287938074, 132.029180796, 127.228303036, 102.643235662, 115.3178555, 69.4969836323, 113.176235012, 115.314088359, 496.916019587, 170.172311085, 150.29423611, 832.551750492, 131.889564037, 27.783691327, 172.504209589, 206.413492006, 138.045029879, 731.103189906, 166.176366625, 876.863112563, 121.737045985, 130.62820104, 122.388786524, 99.5255341174, 122.123081914, 342.43956972, 157.717697572, 208.195717326, 89.1205379933
146.054814897, 101.231375539, 88.0922674511, 103.615810544, 138.529205422, 5.67593992254, 99.0005963377, 114.389584178, 24.5572322104, 121.028976765, 143.135206428, 503.496593027, 136.197623068, 105.286520223, 168.631866408, 308.982362227, 155.327544404, 473.746686427, 238.367530793, 842.857733661, 114.239543325, 128.048616953, 138.223540552, 103.149296779, 102.170808031, 331.521780785, 137.32107574, 76.8612778977, 150.354087786
153.044692365, 142.762668784, 122.951070729, 82.2275702207, 24.2576164861, 130.190470251, 127.491542947, 101.536441239, 53.3845098513, 192.104039724, 257.382250771, 227.40146883, 118.471111379, 43.994608553, 126.859744866, 141.041420796, 103.471095242, 336.488526518, 136.239240312, 766.44309379, 96.5253991703, 139.579896178, 137.23000403, 90.0985304364, 90.5870247374, 425.496381505, 192.527964666, 169.290265044, 125.797656667
123.52028573, 153.602104462, 119.910622144, 82.855165735, 99.4580889726, 67.3386458919, 77.1890605903, 113.984512595, 807.173292734, 149.982320661, 170.48751178, 212.357037495, 114.444203041, 59.5512431573, 165.758694542, 103.181388665, 124.475555368, 726.140197823, 92.7478512086, 689.79118011, 99.8229192495, 131.186365426, 145.266751738, 80.1445469575, 116.441754825, 248.782450941, 144.163470467, 81.4031430855, 107.956067326
157.824533231, 131.612339395, 101.611782474, 94.7812120376, 145.055519648, 73.0851759408, 100.658736184, 112.974072156, 832.090885948, 153.620542253, 232.808887175, 832.771559315, 125.541340612, 65.3797810967, 176.567868336, 181.239104602, 110.15967139, 82.0058736803, 185.099129483, 923.375692456, 89.3765853735, 133.340838414, 131.086211867, 109.737091377, 123.276002498, 387.791032179, 123.969543939, 89.6248303651, 146.979151871
148.329134502, 157.977042711, 92.2449937467, 96.8013341451, 152.911476343, 107.630457663, 156.690112951, 86.5433403117, 142.413813319, 120.297812964, 91.8011898995, 594.35105436, 137.293967856, 81.4474658034, 134.689900996, 169.284258091, 98.9266702304, 690.683744297, 263.397132909, 466.529325323, 80.8078425848, 113.378591358, 139.792243989, 98.5325781126, 116.86454289, 273.352067546, 180.001537446, 113.809488001, 113.577371564
156.584439045, 164.865746801, 100.449131866, 98.1248912119, 110.596027568, 102.918154866, 127.672470533, 99.0875889098, 981.876797095, 131.053833663, 276.990078339, 779.946998855, 142.999453555, 69.082239716, 105.71914347, 190.222531852, 115.707274335, 596.291364049, 229.652018396, 579.878900118, 64.5365747752, 159.709746321, 138.490001912, 112.190792688, 124.673390048, 262.186552609, 137.387859101, 66.4199356364, 128.721972433
140.483739602, 128.153874199, 128.204003264, 83.0896793877, 171.909223144, 109.134916585, 93.6146019576, 107.027394469, 852.480600437, 151.591423301, 152.485094972, 133.672345414, 167.508868021, 65.6884087112, 160.330651438, 271.410042056, 83.4787765638, 33.5584893801, 214.925658618, 378.080200282, 86.8809615237, 149.563977566, 128.727265648, 108.32296428, 100.817168104, 518.041163371, 157.359193929, 130.719024332, 110.369621252
174.172095103, 139.987750988, 94.1261632057, 105.505276747, 87.8718447945, 96.0949121672, 108.091920592, 92.4370812759, 708.268592158, 144.194489164, 501.047758445, 728.008833579, 130.463912708, 130.465687445, 144.02910368, 206.530267284, 145.249259503, 262.174983807, 301.349949253, 952.374742329, 100.05912635, 151.832648182, 142.688617091, 115.76744597, 124.064563607, 437.438307348, 177.448651354, 77.3961322647, 99.1195557251
131.005907835, 148.371968969, 117.412242119, 99.4521311031, 104.407711987, 2.68387452706, 71.3472069962, 71.0644434258, 840.958483383, 176.636884584, 137.449801108, 609.147066519, 134.190890722, 68.1021302368, 148.486461008, 101.532800467, 109.17555907, 59.9068579572, 251.903432221, 155.249248531, 96.3206728841, 121.245921114, 127.393494591, 111.253567526, 128.12578835, 263.275862116, 163.653799942, 45.4225564227, 143.012897828
162.9068514, 124.688975312, 115.489379552, 84.3964506527, 93.3690466997, 63.5815688582, 119.068882918, 127.445104111, 348.118693942, 120.696489046, 441.279093755, 645.642944934, 124.344698245, 59.9074522147, 147.057223167, 183.952070551, 156.693795024, 801.461046774, 237.172426236, 766.562146098, 107.712781267, 125.643202114, 137.617597057, 96.7471788397, 121.417784521, 307.618621162, 173.214773886, 74.1981158214, 112.138608234
