V11, V05, V04, V07, V06, V01, V00, V03, V24, V28, V09, V08, V23, V22, V21, V20, V27, V26, V18, V19, V25, V12, V13, V10, V02, V16, V17, V14, V15
204.694994864, 183.869234851, 125.741695828, 79.5836653737, 191.531876203, 145.63868793, 72.8643861223, 97.6112406906, 299.279760502, 187.735099601, 78.7533652201, 624.385827767, 169.911829635, 145.993672918, 143.345986742, 159.41361777, 173.23359462, 220.731924686, 246.428824641, 166.182081746, 143.418630234, 137.322059792, 134.072667654, 103.881596712, 88.1524667539, 142.215336922, 122.90588757, 149.880149356, 139.499940591
169.268203181, 125.681488682, 122.19006796, 84.7293998656, 135.871255555, 110.287333154, 80.0667620214, 110.202648721, 287.517024402, 186.806282881, 75.0219286854, 228.512440512, 182.863950102, 187.15387241, 165.958563229, 170.479286004, 184.556877685, 892.118345643, 208.277636439, 181.025766129, 165.999207048, 172.117728836, 164.790278717, 88.9993848054, 94.7359879072, 165.905022159, 161.594916107, 225.165095239, 165.841141631
199.186681208, 189.065258759, 156.410749941, 93.9412849703, 196.251943486, 146.071430699, 91.6579824949, 144.280276868, 454.898070723, 198.85065906, 87.1678200033, 960.191351141, 151.794806333, 146.191448964, 143.223493816, 151.39466709, 168.390979963, 686.040159648, 164.9803382, 151.592885787, 145.296914883, 153.601723621, 137.254725255, 108.582251315, 141.191834597, 142.044905805, 108.763592958, 181.828163422, 139.446567113
199.095705987, 162.287055674, 142.47754483, 94.7015559809, 197.783009507, 129.489821066, 84.0952432865, 134.249880357, 756.020267716, 166.837191537, 62.5988383377, 747.780108666, 168.571109357, 155.116848884, 148.27343207, 165.816235922, 191.908496853, 646.977881489, 248.451538239, 167.304132722, 148.306041154, 150.501970815, 147.042273964, 96.1457942563, 116.930341143, 148.268534238, 146.409237146, 167.37657775, 148.268328845
179.028263014, 177.232514979, 159.04541196, 95.0423557017, 177.93501501, 158.297102248, 46.3010209217, 157.495887382, 756.336551017, 181.363189589, 4.76365386828, 385.099614417, 181.676180917, 198.597134523, 178.77485375, 180.006585104, 182.691055334, 669.964560036, 215.123788855, 180.55226417, 179.275508392, 177.352995332, 173.91855153, 86.8100570912, 128.504101752, 178.671095452, 132.28945243, 179.796728123, 178.084593338
169.74760388, 135.308327185, 132.261280857, 99.8086319403, 135.537270422, 133.20941046, 93.966319386, 118.122975423, 878.129022436, 180.247277026, 48.3915509595, 836.924794512, 161.511565561, 159.430921719, 153.913039829, 156.056239905, 161.598314224, 196.392831149, 229.888753714, 159.673627959, 153.940909353, 155.967691852, 153.436548563, 114.957003117, 111.451265379, 153.578110002, 153.100623178, 167.256588637, 153.467572695
165.582123402, 135.270969629, 134.585919169, 101.268658173, 151.806214098, 125.2793637, 77.0410415915, 131.932581476, 668.854894081, 191.693089238, 56.161046631, 852.382920126, 159.654085142, 177.643200983, 157.984143857, 159.511717036, 160.518088239, 997.459268593, 179.965447416, 159.639744327, 158.020280735, 157.782744878, 157.188023592, 98.1686983141, 125.012703555, 157.979728694, 137.240367332, 167.183036346, 157.968550026
186.092435687, 173.626176146, 134.614241292, 84.7621069536, 177.536105792, 110.754508346, 94.4629833404, 128.424386002, 456.413194221, 144.774905288, 59.246177837, 897.128780587, 147.45722526, 137.904256487, 134.427605328, 144.933861849, 156.268271808, 401.334533762, 171.450937866, 145.120652215, 134.444242054, 149.828689383, 134.355388875, 96.5410934395, 109.521600598, 134.421517393, 101.529251768, 164.821361654, 134.419741433
177.422092673, 141.483753079, 137.660098052, 88.9043443629, 148.512180118, 156.176604354, 95.5186566479, 130.394869668, 706.245672149, 187.096611739, 12.4326698715, 463.082663851, 184.879207188, 192.310625346, 179.949556795, 183.98830825, 189.962879654, 385.801036692, 239.07123662, 184.072800617, 184.537513701, 174.277832182, 173.989932937, 108.526587931, 121.427165914, 177.532855604, 157.646326327, 187.211635177, 176.432349543
167.209127323, 155.872756929, 132.562984077, 91.6505733346, 162.073088499, 120.470469108, 94.1437934285, 114.587718473, 946.117876838, 168.178924269, 66.864393527, 698.111603999, 159.195684788, 156.597098369, 154.441491195, 157.707743467, 177.078627426, 809.798914849, 177.184996646, 158.21111936, 155.398005437, 155.305429994, 153.59244832, 104.179261539, 107.96293858, 154.335197753, 131.729009997, 192.529128521, 153.860454074
